query_product,query_category,model,reranking,rank,recommended_product,rec_category,rec_brand,similarity_score,rating,sold,trust_score,is_mall
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,TF-IDF,no,0,Đồng hồ đeo tay thông minh Samsung Galaxy Watch FE 2024,Đồng hồ,samsung,0.3779,5.0,1000,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,TF-IDF,no,0,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",Điện thoại,samsung,0.3649,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,TF-IDF,no,0,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",Điện thoại,samsung,0.3622,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,TF-IDF,no,0,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",Điện thoại,samsung,0.3547,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,TF-IDF,no,0,"Đồng hồ thông minh Samsung Galaxy Watch Ultra, Galaxy AI, thiết kế từ Titan, 47mm, LTE",Điện thoại,samsung,0.332,5.0,141,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,SBERT,no,0,Đồng hồ đeo tay thông minh Samsung Galaxy Watch FE 2024,Đồng hồ,samsung,0.8046,5.0,1000,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,SBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",Điện thoại,samsung,0.7726,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,SBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",Điện thoại,samsung,0.7692,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,SBERT,no,0,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",Điện thoại,samsung,0.7633,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",Đồng hồ,SBERT,no,0,"điện thoại 4G Samsung Galaxy Note 9 ram 6G/128G Chính Hãng, Chiến Game mượt, Chụp ảnh siêu đẹp -CMMF",Điện thoại,samsung,0.7385,4.91,50,0.55,0
